,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
36,id1870624,1,2016-01-05 17:00:00,2016/1/5 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,N,553
37,id2403238,1,2016-06-24 00:24:00,2016/6/23 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,N,277
38,id3323083,1,2016-05-27 16:21:00,2016/5/27 14:46,2,-73.97812653,40.75834274,-73.99224854,40.73054123,N,1189
39,id3720663,1,2016-05-10 17:00:00,2016/5/10 16:40,1,-73.97776794,40.77407837,-73.94714355,40.77599335,N,1523
40,id0578558,1,2016-04-21 23:21:00,2016/4/21 21:52,2,-73.98854828,40.74597931,-73.97088623,40.79338455,N,1450
41,id2573056,2,2016-04-14 13:44:00,2016/4/14 13:46,2,-73.97472382,40.75113678,-73.95444489,40.76411819,N,1102
42,id2129090,1,2016-03-14 14:41:00,2016/3/14 14:28,1,-73.97509003,40.75876617,-73.95320129,40.76506805,N,1346
43,id3961107,1,2016-03-19 01:29:00,2016/3/19 1:18,1,-73.97647095,40.73978043,-73.98066711,40.72996521,N,363
44,id3326491,2,2016-02-12 08:00:00,2016/2/12 7:51,1,-73.97964478,40.73963165,-73.99472809,40.72349548,N,559
45,id0718344,2,2016-06-13 17:35:00,2016/6/13 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,N,1478
46,id3188770,1,2016-01-03 18:51:00,2016/1/3 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,N,348
47,id1956279,2,2016-02-26 10:01:00,2016/2/26 8:43,1,-73.98165894,40.77897263,-73.96981049,40.79212952,N,375
48,id2391523,1,2016-05-18 23:40:00,2016/5/18 22:10,3,-73.96616364,40.76691437,-73.99217987,40.72581863,N,1217
49,id2662609,1,2016-04-10 19:41:00,2016/4/10 19:25,1,-73.96546936,40.76584625,-73.96095276,40.79692841,N,876
50,id2067879,2,2016-01-20 00:03:00,2016/1/19 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,N,1557
51,id1939961,1,2016-05-07 14:30:00,2016/5/7 13:46,1,-73.97725677,40.77424622,-73.99001312,40.73265457,N,1647
52,id0675800,2,2016-02-15 09:49:00,2016/2/15 9:35,6,-73.97775269,40.75463104,-74.00167847,40.75642014,N,634
53,id2569332,1,2016-04-13 16:06:00,2016/4/13 14:30,1,-73.96872711,40.78643799,-73.960495,40.77815247,N,365
54,id0526266,2,2016-05-15 11:37:00,2016/5/15 9:56,1,-73.93488312,40.80101013,-73.98300171,40.72256851,N,819
55,id3827863,2,2016-04-19 11:32:00,2016/4/19 12:27,3,-73.79289246,40.65787888,-73.80918884,40.69018173,N,3528
56,id1388344,2,2016-01-02 16:33:00,2016/1/2 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,N,1228
57,id1079955,1,2016-04-22 11:59:00,2016/4/22 12:11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,N,2607
58,id0256505,1,2016-03-14 17:03:00,2016/3/14 15:16,1,-73.99448395,40.74508667,-73.99899292,40.72270966,N,695
59,id1530524,1,2016-03-19 17:55:00,2016/3/19 17:48,1,-73.95342255,40.76765823,-73.98031616,40.73778152,N,472
60,id1674872,1,2016-02-29 03:16:00,2016/2/29 2:55,1,-73.95185089,40.71406937,-73.9679718,40.6887207,N,526
61,id1040444,2,2016-01-07 18:55:00,2016/1/7 17:13,4,-73.9769516,40.75202179,-74.00121307,40.75161362,N,721
62,id1674996,1,2016-05-13 13:33:00,2016/5/13 12:40,1,-74.00180054,40.72613525,-74.00715637,40.74080658,N,512
63,id1965939,1,2016-05-24 12:51:00,2016/5/24 12:28,1,-73.99409485,40.7615509,-73.9806366,40.78963852,N,720
64,id0442192,1,2016-04-10 17:07:00,2016/4/10 16:10,1,-74.00632477,40.73339081,-74.00000763,40.74325562,N,174
65,id0515898,2,2016-05-21 19:21:00,2016/5/21 17:46,1,-74.00257111,40.73931122,-73.99188232,40.74499893,N,478
66,id1182327,2,2016-02-29 12:11:00,2016/2/29 11:35,1,-73.94830322,40.77443695,-73.96370697,40.75548553,N,788
67,id3913101,1,2016-06-26 00:02:00,2016/6/25 22:22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,N,1003
68,id1680350,1,2016-03-18 21:52:00,2016/3/18 20:59,1,-74.00298309,40.72331238,-74.0015564,40.72882462,N,215
69,id0913838,2,2016-02-03 17:21:00,2016/2/3 16:37,5,-73.97833252,40.75407028,-73.95973206,40.77275848,N,870
70,id3896508,2,2016-06-08 00:30:00,2016/6/7 22:46,1,-73.86338043,40.76988983,-73.83712769,40.72135925,N,814
71,id2846400,2,2016-03-16 21:08:00,2016/3/16 20:23,1,-73.99725342,40.71796036,-73.99925232,40.73001862,N,637
72,id1510700,2,2016-02-20 22:33:00,2016/2/20 21:59,1,-73.95839691,40.77262878,-73.95513153,40.7742424,N,57
73,id0813128,2,2016-02-20 19:29:00,2016/2/20 19:07,2,-73.99120331,40.74955368,-73.97919464,40.74630737,N,589
74,id1158195,1,2016-03-24 18:14:00,2016/3/24 18:36,1,-73.99232483,40.73072052,-73.87250519,40.77449799,N,2275
75,id0959273,1,2016-03-21 00:22:00,2016/3/20 23:27,1,-73.9888382,40.76890182,-73.95553589,40.77174377,N,647
76,id0739660,1,2016-05-16 15:06:00,2016/5/16 13:34,3,-73.96472168,40.80660629,-73.98457336,40.76067734,N,1628
77,id3769871,1,2016-06-17 18:30:00,2016/6/17 18:11,1,-73.94314575,40.78963089,-73.98947906,40.76276398,N,2337
78,id1818021,1,2016-03-23 01:38:00,2016/3/23 0:45,1,-74.01116943,40.70360565,-74.00569153,40.74135971,N,674
79,id0982165,2,2016-04-12 22:24:00,2016/4/12 21:49,1,-73.98031616,40.7588501,-74.01013947,40.70508194,N,1190
80,id1519515,2,2016-06-11 14:19:00,2016/6/11 13:12,1,-73.95049286,40.77126694,-74.00124359,40.74649048,N,1191
81,id1082443,2,2016-02-25 16:05:00,2016/2/25 15:09,1,-73.98712158,40.76847458,-73.97582245,40.75971222,N,785
82,id2934884,2,2016-01-07 19:33:00,2016/1/7 19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,N,520
83,id1205949,1,2016-06-05 19:52:00,2016/6/5 18:46,1,-73.96260834,40.75882721,-73.95419312,40.76405334,N,218
84,id2592310,2,2016-06-13 08:36:00,2016/6/13 7:24,1,-73.99041748,40.75688171,-73.98197937,40.75999069,N,222
85,id0883711,1,2016-01-16 22:22:00,2016/1/16 21:42,1,-73.99363708,40.7342186,-73.96146393,40.76929855,N,1204
86,id0283075,1,2016-04-07 00:28:00,2016/4/7 0:12,1,-73.78247833,40.64464569,-73.98112488,40.72088623,N,1782
87,id2107497,1,2016-05-13 21:47:00,2016/5/13 21:06,2,-74.01395416,40.7128334,-73.99755096,40.7180748,N,1174
88,id2090852,2,2016-01-28 12:34:00,2016/1/28 11:30,1,-73.96882629,40.75419617,-73.97275543,40.74661255,N,336
89,id1297351,2,2016-06-24 15:40:00,2016/6/24 14:32,1,-74.00328827,40.72697067,-73.99330139,40.73912048,N,470
90,id0667605,2,2016-05-27 16:35:00,2016/5/27 16:23,1,-73.99105835,40.73957062,-74.00610352,40.73455048,N,346
91,id1476107,1,2016-05-22 17:25:00,2016/5/22 15:48,1,-73.9668808,40.78868103,-73.96282196,40.77572632,N,419
92,id0673727,2,2016-05-18 20:51:00,2016/5/18 19:44,1,-73.96167755,40.77596664,-73.85739136,40.733284,N,1762
93,id2030290,1,2016-03-31 12:53:00,2016/3/31 12:12,3,-73.86431885,40.7698288,-73.98586273,40.760952,N,2341
94,id3770790,1,2016-02-13 13:15:00,2016/2/13 13:19,1,-73.99223328,40.74428177,-74.00823212,40.74882507,N,406
95,id3025098,2,2016-01-20 21:08:00,2016/1/20 19:31,1,-73.97698212,40.75030136,-73.99912262,40.73950958,N,596
96,id3333094,2,2016-06-03 00:36:00,2016/6/2 23:41,1,-73.97346497,40.75522995,-73.97736359,40.74282074,N,435
97,id2228940,1,2016-02-04 14:45:00,2016/2/4 13:40,1,-73.98186493,40.7587738,-73.97022247,40.78414154,N,1108
98,id2102594,1,2016-03-30 16:38:00,2016/3/30 17:01,1,-73.7898407,40.6435585,-73.97066498,40.68727875,N,2824
99,id0010677,1,2016-04-29 11:22:00,2016/4/29 10:53,2,-73.99197388,40.74999619,-73.97788239,40.75489426,N,769
100,id3194108,1,2016-06-01 11:49:00,2016/6/1 12:19,1,-74.00502777,40.74645233,-73.97200775,40.74578094,N,1826
101,id2063827,1,2016-05-18 21:10:00,2016/5/18 21:18,1,-73.98141479,40.75673294,-73.9705658,40.75569534,N,593
102,id0105610,1,2016-02-19 21:15:00,2016/2/19 20:35,3,-73.78971863,40.64370728,-73.97869873,40.75034332,N,2065
103,id3502065,1,2016-03-15 22:09:00,2016/3/15 21:14,1,-73.97401428,40.75715256,-73.94973755,40.77709198,N,653
104,id3508035,2,2016-06-06 21:39:00,2016/6/6 20:45,6,-73.78813171,40.64146042,-73.97177124,40.74940872,N,1884
105,id3236276,2,2016-01-27 08:23:00,2016/1/27 8:24,1,-73.95603943,40.76760864,-73.96820068,40.78668976,N,989
106,id3277902,1,2016-04-09 15:23:00,2016/4/9 15:11,1,-73.97316742,40.75569916,-73.98865509,40.7369957,N,419
107,id2335059,1,2016-05-27 11:53:00,2016/5/27 11:26,4,-73.97580719,40.76062775,-73.98778534,40.75492096,N,962
108,id2300865,1,2016-05-10 11:28:00,2016/5/10 10:35,1,-73.96588135,40.76284027,-73.96099091,40.77087402,N,243
109,id3962434,2,2016-01-10 09:47:00,2016/1/10 8:51,2,-73.98927307,40.7564888,-74.00279999,40.76050186,N,373
110,id2677672,1,2016-02-18 18:16:00,2016/2/18 17:54,2,-73.945755,40.77368164,-73.95343018,40.78107834,N,384
111,id0589360,1,2016-05-22 18:17:00,2016/5/22 18:20,1,-73.86367798,40.76977158,-74.00721741,40.70489502,N,2753
112,id0970832,1,2016-03-12 20:58:00,2016/3/12 21:05,1,-74.00824738,40.7473526,-73.97944641,40.71875,N,1561
113,id0694434,1,2016-01-27 00:43:00,2016/1/26 23:48,1,-74.00679779,40.70607376,-73.97402191,40.74407578,N,505
114,id3729136,2,2016-01-30 15:52:00,2016/1/30 15:30,2,-73.97727203,40.75735092,-74.00243378,40.7344017,N,900
115,id2358953,2,2016-06-27 00:43:00,2016/6/27 1:06,1,-73.87081909,40.77373886,-73.85749817,41.01781082,N,2116
116,id0935429,1,2016-05-02 08:26:00,2016/5/2 7:08,1,-73.9990921,40.74549103,-73.9785614,40.76232529,N,611
117,id3056417,2,2016-04-11 15:14:00,2016/4/11 14:34,1,-73.98435974,40.74271011,-73.98774719,40.75188828,N,972
118,id1152886,2,2016-01-21 15:29:00,2016/1/21 14:44,1,-73.96167755,40.7711792,-73.95211029,40.78435898,N,604
119,id1796723,1,2016-02-09 17:14:00,2016/2/9 16:04,1,-73.99385834,40.73579788,-73.99462128,40.75046158,N,594
120,id0045014,1,2016-04-20 21:17:00,2016/4/20 20:39,1,-73.95012665,40.78008652,-73.96282959,40.76268387,N,574
121,id2648478,1,2016-01-18 11:49:00,2016/1/18 11:18,1,-73.95157623,40.76646805,-73.96021271,40.76054001,N,297
122,id0702030,1,2016-01-07 23:48:00,2016/1/7 23:26,1,-73.9992981,40.74953461,-74.00536346,40.74351883,N,101
123,id3024438,2,2016-06-10 23:52:00,2016/6/10 22:41,1,-73.95372009,40.77529526,-73.99119568,40.72631836,N,1041
124,id2146569,2,2016-06-23 23:07:00,2016/6/23 22:21,1,-73.97679901,40.74995041,-73.98156738,40.7457695,N,212
125,id2307151,1,2016-02-07 19:34:00,2016/2/7 18:15,1,-73.96195221,40.80044556,-73.97841644,40.78279114,N,422
126,id2049424,2,2016-03-02 21:01:00,2016/3/2 20:37,1,-73.96389008,40.77365112,-74.00511169,40.75149155,N,1356
127,id2209089,1,2016-02-24 23:37:00,2016/2/24 23:03,1,-74.00691223,40.73036194,-74.0059433,40.72706985,N,416
128,id0391524,1,2016-04-06 12:59:00,2016/4/6 12:33,1,-73.97864532,40.74803543,-73.97013092,40.76273727,N,1118
129,id2681033,1,2016-06-17 10:17:00,2016/6/17 10:16,1,-73.97682953,40.78821182,-73.98374939,40.76253128,N,874
130,id2040275,1,2016-06-16 20:54:00,2016/6/16 20:36,1,-73.93694305,40.79823303,-73.94638062,40.78088379,N,321
131,id0073842,2,2016-03-31 01:27:00,2016/3/30 23:56,1,-73.99005127,40.73801041,-73.99093628,40.72521591,N,400
132,id3942339,1,2016-01-05 18:46:00,2016/1/5 18:13,1,-73.97882843,40.7528038,-73.99103546,40.75041962,N,934
133,id2991616,2,2016-03-19 20:12:00,2016/3/19 20:04,3,-73.98356628,40.75556183,-73.98236847,40.76696014,N,773
134,id1047459,2,2016-01-22 17:57:00,2016/1/22 17:37,3,-73.98841095,40.75896072,-73.99189758,40.77069092,N,337
135,id1737558,1,2016-05-18 20:03:00,2016/5/18 19:12,1,-73.9602356,40.76222992,-73.95059204,40.77531433,N,234
136,id2135557,2,2016-05-25 13:29:00,2016/5/25 13:27,5,-73.97028351,40.76483154,-73.95757294,40.78247833,N,474
137,id0659170,2,2016-03-26 13:08:00,2016/3/26 13:29,1,-73.96865845,40.76450729,-73.87283325,40.77145386,N,1314
138,id1125774,1,2016-01-19 23:05:00,2016/1/19 22:28,2,-73.99453735,40.74023438,-73.97618866,40.76259232,N,482
139,id1886740,1,2016-05-29 00:55:00,2016/5/29 0:24,1,-73.98511505,40.76872635,-73.95166779,40.77443314,N,566
140,id1982306,2,2016-02-10 21:50:00,2016/2/10 21:09,2,-73.98493958,40.75185776,-73.9835434,40.74433517,N,189
141,id2684106,2,2016-02-26 21:56:00,2016/2/26 21:14,2,-74.00100708,40.73178101,-73.9871521,40.77100372,N,913
142,id0038484,2,2016-03-09 13:55:00,2016/3/9 13:53,2,-73.97285461,40.76440048,-73.97180939,40.75788879,N,736
143,id1734208,2,2016-04-11 12:03:00,2016/4/11 10:56,6,-73.99707794,40.72063828,-73.99963379,40.74583817,N,714
144,id0561467,1,2016-02-09 08:02:00,2016/2/9 7:12,1,-73.97254944,40.79401779,-73.95405579,40.7663002,N,815
145,id3092788,2,2016-03-03 22:27:00,2016/3/3 22:17,2,-73.98477173,40.71057129,-73.9894104,40.73014832,N,972
146,id1741519,2,2016-03-26 16:14:00,2016/3/26 14:53,1,-73.98478699,40.74301529,-73.99360657,40.73528671,N,318
147,id1330402,2,2016-05-22 19:13:00,2016/5/22 18:16,1,-73.99182129,40.75007629,-73.97105408,40.75669861,N,625
148,id2505596,2,2016-05-29 00:11:00,2016/5/28 23:07,1,-73.98498535,40.74858093,-73.98127747,40.76911545,N,859
149,id1630509,2,2016-03-16 07:40:00,2016/3/16 5:45,2,-73.9936676,40.74187851,-73.98458862,40.75429916,N,141
150,id0512853,1,2016-05-28 18:30:00,2016/5/28 17:56,1,-73.96956635,40.76916504,-73.98652649,40.73033524,N,983
151,id3089912,2,2016-06-13 13:33:00,2016/6/13 13:31,2,-73.98995972,40.74108124,-73.97696686,40.74745178,N,565
152,id1137965,1,2016-05-16 15:42:00,2016/5/16 15:08,1,-73.98913574,40.7750206,-73.98181915,40.76605988,N,351
153,id3677225,2,2016-01-09 16:33:00,2016/1/9 15:12,1,-73.96788025,40.7598114,-73.9538269,40.77888107,N,342
154,id0401226,1,2016-05-26 06:47:00,2016/5/26 6:52,4,-74.00670624,40.70555496,-73.99169159,40.74972153,N,909
155,id2452605,2,2016-05-23 00:27:00,2016/5/22 22:46,1,-73.99626923,40.74985123,-73.99476624,40.73648071,N,227
156,id3618302,2,2016-04-19 10:09:00,2016/4/19 9:45,6,-73.98731995,40.75064087,-73.98928833,40.76940536,N,1078
157,id1552358,2,2016-04-01 08:18:00,2016/4/1 8:10,1,-73.97543335,40.75213242,-73.99078369,40.75094223,N,900
158,id1168234,1,2016-02-01 19:16:00,2016/2/1 18:13,1,-74.00020599,40.73784637,-74.00031281,40.72286606,N,631
159,id2910320,2,2016-04-20 09:09:00,2016/4/20 7:56,1,-73.95545959,40.76730728,-73.98899841,40.69316864,N,1385
160,id3331830,1,2016-04-12 10:35:00,2016/4/12 9:35,1,-73.96486664,40.75579071,-73.97580719,40.75735474,N,869
161,id0195963,2,2016-06-19 19:19:00,2016/6/19 18:48,1,-73.99916077,40.74436951,-73.9887085,40.75870132,N,574
162,id0762989,2,2016-03-17 10:13:00,2016/3/17 8:26,1,-73.97761536,40.76357269,-73.97257233,40.76595688,N,104
163,id2671060,2,2016-04-07 09:38:00,2016/4/7 8:51,1,-73.95311737,40.77180099,-73.94792175,40.78314972,N,418
164,id3620795,1,2016-01-01 11:55:00,2016/1/1 10:51,1,-74.0016098,40.74081039,-73.99622345,40.72590256,N,383
165,id2282206,1,2016-01-04 18:12:00,2016/1/4 16:51,2,-73.96218109,40.81072617,-73.9948349,40.75281143,N,1117
166,id0591292,1,2016-06-09 19:41:00,2016/6/9 19:07,1,-73.98696899,40.74285126,-73.99428558,40.76135635,N,1447
167,id0906779,1,2016-04-19 09:10:00,2016/4/19 9:14,2,-73.97155762,40.75062943,-73.95262909,40.63159561,N,2543
168,id2326430,2,2016-06-10 22:43:00,2016/6/10 22:23,1,-73.95687866,40.77487183,-73.93650818,40.85718536,N,981
169,id3863815,2,2016-03-14 06:10:00,2016/3/14 4:37,3,-73.94435883,40.71448898,-73.91053009,40.70949173,N,755
170,id3048297,2,2016-04-06 09:39:00,2016/4/6 9:14,1,-73.97279358,40.75559616,-73.87312317,40.77445602,N,1257
171,id3649509,1,2016-04-02 16:23:00,2016/4/2 15:06,2,-74.00554657,40.70926285,-73.97014618,40.76274109,N,1221
172,id1783063,2,2016-04-06 13:53:00,2016/4/6 12:40,2,-73.98464966,40.74597931,-73.97737885,40.75965118,N,940
173,id3363012,2,2016-04-12 21:22:00,2016/4/12 20:24,1,-73.96196747,40.77008057,-73.96077728,40.77505112,N,126
174,id0514638,1,2016-02-10 08:45:00,2016/2/10 8:42,1,-73.96942139,40.80003357,-73.9681778,40.79170227,N,350
175,id0627115,2,2016-02-26 17:27:00,2016/2/26 16:23,1,-73.98262787,40.76211166,-73.99337006,40.74748993,N,737
176,id3141299,2,2016-01-14 13:27:00,2016/1/14 12:37,3,-73.99577332,40.74256897,-74.00809479,40.72277069,N,690
177,id2003497,1,2016-04-15 12:58:00,2016/4/15 12:09,2,-74.00007629,40.74829865,-73.98988342,40.73796463,N,671
178,id3748197,1,2016-02-08 00:23:00,2016/2/7 23:25,1,-73.9991684,40.73423386,-73.98209381,40.74027634,N,463
179,id2983261,1,2016-04-15 16:05:00,2016/4/15 14:47,1,-74.01425171,40.71391296,-74.00462341,40.7053833,N,367
180,id0485870,2,2016-06-19 20:56:00,2016/6/19 20:29,1,-73.99089813,40.75066376,-73.99321747,40.73419952,N,369
181,id0835694,1,2016-01-15 19:51:00,2016/1/15 19:31,1,-73.97510529,40.75569153,-73.9855957,40.74747467,N,402
182,id3426410,2,2016-02-18 10:46:00,2016/2/18 9:45,5,-73.96743774,40.75934982,-74.01268768,40.70161057,N,1093
183,id3673678,2,2016-01-31 14:24:00,2016/1/31 14:03,1,-73.97599792,40.75113678,-74.00185394,40.73522949,N,657
184,id2460349,1,2016-01-07 15:52:00,2016/1/7 15:49,2,-73.9789505,40.75093079,-73.96439362,40.75496292,N,530
185,id3198639,1,2016-06-05 03:32:00,2016/6/5 3:14,1,-73.97978973,40.78126526,-73.94087982,40.82322311,N,733
186,id1872601,2,2016-05-31 20:29:00,2016/5/31 19:27,2,-73.98686218,40.7509613,-74.00537872,40.74002838,N,699
187,id0125957,1,2016-06-14 21:31:00,2016/6/14 21:21,2,-73.96701813,40.75300598,-73.95162964,40.76935959,N,294
188,id3526986,2,2016-02-23 13:31:00,2016/2/23 13:40,1,-73.97038269,40.76499176,-73.94966888,40.76845932,N,661
189,id3170873,1,2016-06-30 23:13:00,2016/6/30 21:46,1,-74.00243378,40.7171669,-73.98596954,40.72674942,N,652
190,id1674373,2,2016-02-15 18:04:00,2016/2/15 18:02,5,-74.00749969,40.74095154,-74.01664734,40.70491028,N,586
191,id2973697,2,2016-04-07 23:25:00,2016/4/7 23:10,2,-73.99538422,40.7492981,-73.98932648,40.71814728,N,1057
192,id1592044,1,2016-01-29 12:58:00,2016/1/29 11:33,1,-73.98667908,40.72584915,-73.99746704,40.7351532,N,580
193,id3899813,2,2016-06-01 22:09:00,2016/6/1 20:34,5,-73.98002625,40.76596832,-73.99120331,40.75035095,N,1151
194,id2075052,1,2016-04-09 09:52:00,2016/4/9 9:20,1,-73.95449829,40.76680756,-73.98778534,40.7208786,N,660
195,id3707411,1,2016-01-03 02:19:00,2016/1/3 2:17,1,-74.00772858,40.74060822,-73.98351288,40.73720932,N,803
196,id1608545,1,2016-04-14 09:21:00,2016/4/14 9:03,1,-74.00679779,40.73107147,-73.97496033,40.75846863,N,1954
197,id3517425,2,2016-01-16 21:33:00,2016/1/16 20:51,6,-73.98092651,40.75524139,-74.00455475,40.7296524,N,1030
198,id3942917,1,2016-04-29 15:39:00,2016/4/29 15:05,4,-73.86277771,40.76931381,-73.98612976,40.74858093,N,2817
199,id2000923,2,2016-03-29 07:12:00,2016/3/29 6:09,5,-73.98786926,40.76509857,-73.99360657,40.75894928,N,85
200,id3564028,1,2016-01-02 01:23:00,2016/1/2 1:19,1,-73.95413208,40.77478409,-73.94741821,40.77963257,N,194
201,id1233453,1,2016-02-05 19:15:00,2016/2/5 17:30,1,-73.9720993,40.78220749,-73.96451569,40.77754974,N,116
202,id1372674,2,2016-05-22 14:45:00,2016/5/22 13:21,1,-73.97821045,40.77716064,-73.95762634,40.77454758,N,806
203,id2806146,2,2016-05-28 23:10:00,2016/5/28 21:41,1,-73.98357391,40.73841858,-74.00548553,40.73955917,N,599
204,id1832737,2,2016-03-06 12:43:00,2016/3/6 10:59,1,-73.98471069,40.76018143,-73.97956085,40.75270462,N,364
205,id1489766,2,2016-05-31 21:45:00,2016/5/31 20:00,1,-73.98989105,40.74715805,-73.97494507,40.741745,N,433
206,id3308765,2,2016-05-17 19:02:00,2016/5/17 18:10,4,-73.86347198,40.76981735,-73.87153625,40.76310349,N,598
207,id1935437,2,2016-04-24 09:46:00,2016/4/24 9:37,1,-73.9758606,40.7572403,-74.17759705,40.69094849,N,1665
208,id2059551,2,2016-04-01 10:44:00,2016/4/1 9:42,1,-73.95665741,40.78076935,-73.96964264,40.80010223,N,838
209,id2433939,1,2016-05-16 13:30:00,2016/5/16 13:33,3,-73.87300873,40.77412033,-73.97607422,40.74991226,N,1699
210,id2677357,2,2016-02-15 18:07:00,2016/2/15 16:41,2,-73.97163391,40.78196335,-73.98168945,40.77899551,N,331
